#  #1,  #2,  #3,  #4 
0.00,-0.20,-0.36,0.00
0.00,-0.67,-0.78,0.00
0.00,-0.93,-0.94,-0.74
0.00,-0.93,-0.39,-0.89
0.00,-0.89,-0.39,-0.89
0.00,0.00,-0.83,-0.83
-0.49,-0.39,-0.20,0.00
-0.49,-0.44,-0.44,-0.49
-0.49,-0.65,-0.36,-0.52
-0.36,-0.39,-0.20,-0.42
-0.36,-0.36,-0.36,-0.20
-0.74,0.00,-0.83,-0.39
-0.20,0.00,0.00,0.00
-0.23,1.30,0.00,0.00
-0.20,15.60,0.00,0.00
73.69,0.00,0.00,0.00
-0.20,-0.36,-0.20,0.00
-0.74,0.00,-0.79,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
16.62,0.00,0.00,0.00
-0.36,-0.59,0.00,0.86
-0.59,0.00,0.00,-0.49
