#  #1,  #2,  #3,  #4 
0.00,-0.20,-0.20,0.00
0.00,-0.36,-0.20,-0.20
0.00,11.49,0.87,-0.36
0.00,-0.49,35.58,-0.03
0.00,0.00,-0.65,-0.49
0.00,0.00,-0.49,-0.20
-0.20,0.00,0.00,0.00
-0.20,3.52,0.00,0.00
-0.36,21.08,-0.36,-0.19
-0.36,-0.46,85.57,-0.20
-0.36,-0.36,-0.36,7.22
-0.59,0.00,-0.20,-0.23
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
-0.20,3.00,-0.20,0.00
140.94,20.00,20.00,20.48
-0.20,0.00,0.00,0.00
-0.20,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
-0.20,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
