#  #1,  #2,  #3,  #4 
0.00,-0.36,0.78,0.00
0.00,-0.74,-0.97,-0.49
0.00,-0.49,28.82,-0.86
0.00,11.96,147.13,2.89
0.00,4.50,3.97,83.41
0.00,0.00,5.69,41.96
-0.49,-0.58,17.03,0.00
-0.59,-0.61,22.52,-0.49
-0.49,15.44,66.96,-0.52
57.42,16.94,210.14,10.30
10.74,-0.31,-0.49,164.41
14.58,0.00,-0.83,124.65
-0.49,79.13,-0.10,0.00
-0.41,157.12,12.31,20.74
25.66,201.22,0.00,68.64
266.62,84.71,22.66,106.96
-0.20,-0.36,-0.20,70.73
88.05,0.00,-0.83,5.72
5.25,0.00,0.00,0.00
115.32,-0.20,0.00,0.64
18.36,0.00,0.00,0.00
55.58,0.00,0.00,0.00
-0.36,-0.59,0.00,3.15
-0.59,0.00,0.00,-0.45
