#  #1,  #2,  #3,  #4 
0.00,-0.36,0.78,0.00
0.00,-0.74,-0.97,-0.49
0.00,-0.49,28.82,-0.86
0.00,11.96,107.04,2.89
0.00,0.64,3.97,70.15
0.00,0.00,-0.86,9.90
-0.49,-0.58,17.03,0.00
-0.59,-0.61,0.31,-0.49
-0.49,15.44,66.96,-0.52
10.88,16.94,193.73,10.30
10.74,-0.31,-0.49,145.07
-0.74,0.00,-0.83,22.65
-0.49,68.03,-0.10,0.00
-0.33,133.26,12.31,12.57
25.66,191.73,0.00,37.95
253.95,73.49,22.66,106.96
-0.20,-0.36,-0.20,37.00
-0.74,0.00,-0.79,0.00
5.25,0.00,0.00,0.00
83.77,-0.20,0.00,0.00
18.36,0.00,0.00,0.00
16.62,0.00,0.00,0.00
-0.36,-0.59,0.00,0.86
-0.59,0.00,0.00,-0.49
