#  #1,  #2,  #3,  #4 
0.00,-0.49,-0.59,0.00
0.00,107.09,40.05,-0.59
0.00,23.83,136.13,29.55
0.00,-0.36,131.27,19.11
0.00,22.27,123.32,5.05
0.00,0.00,4.22,58.86
-0.49,5.28,-0.49,0.00
-0.48,130.84,24.99,-0.49
84.59,172.47,82.24,36.01
42.10,35.85,217.36,52.01
55.75,1.97,0.54,160.99
-0.59,0.00,-0.59,63.31
-0.49,60.56,-0.59,0.00
2.21,161.23,20.26,-0.36
-0.20,212.00,25.00,20.20
273.43,205.85,153.33,181.91
24.96,12.59,-0.20,208.37
6.99,0.00,-0.67,156.39
10.08,-0.49,0.00,0.00
119.72,6.77,0.00,-0.39
82.44,13.97,0.00,24.12
115.48,1.00,0.00,-0.20
-0.36,-0.49,0.00,21.71
16.93,0.00,0.00,-0.59
