#  #1,  #2,  #3,  #4 
0.00,-0.49,-0.49,0.00
0.00,0.72,-0.55,-0.49
0.00,-0.36,10.03,-0.49
0.00,-0.36,74.64,0.00
0.00,22.27,123.32,5.05
0.00,0.00,4.22,58.86
-0.49,-0.59,-0.49,0.00
-0.49,9.02,-0.49,-0.49
-0.36,64.21,1.49,-0.39
-0.36,35.85,202.77,6.28
55.75,1.97,0.54,158.22
-0.59,0.00,-0.59,47.36
-0.49,60.56,-0.59,0.00
-0.04,101.62,10.51,-0.36
-0.20,172.51,6.78,20.20
260.20,81.01,68.25,135.16
-0.20,-0.20,-0.20,75.60
-0.49,0.00,-0.59,-0.20
10.08,-0.49,0.00,0.00
46.72,6.77,0.00,-0.39
61.17,-0.36,0.00,-0.36
23.59,-0.20,0.00,-0.20
-0.36,-0.49,0.00,-0.20
-0.49,0.00,0.00,-0.59
